Any[1, 1:10, 2.118095238095238e-7, 1.95e-6, Test Passed, Test Passed]
Any[2, 1:10, 5.416666666666667e-6, 3.942857142857143e-6, Test Passed, Test Passed]
Any[3, 1:10, 9.2e-6, 5.35e-6, Test Passed, Test Passed]
Any[4, 1:10, 1.75e-5, 7.9e-6, Test Passed, Test Passed]
Any[5, 1:10, 2.0e-5, 8.4e-6, Test Passed, Test Passed]
Any[6, 1:10, 3.6e-5, 1.28e-5, Test Passed, Test Passed]
Any[7, 1:10, 3.43e-5, 1.39e-5, Test Passed, Test Passed]
Any[8, 1:10, 3.68e-5, 1.49e-5, Test Passed, Test Passed]
Any[9, 1:10, 3.78e-5, 1.47e-5, Test Passed, Test Passed]
Any[10, 1:10, 4.12e-5, 1.53e-5, Test Passed, Test Passed]
Any[11, 1:10, 4.19e-5, 1.64e-5, Test Passed, Test Passed]
Any[12, 1:10, 4.57e-5, 1.78e-5, Test Passed, Test Passed]
Any[1, 1:100, 2.3002421307506054e-7, 1.06e-5, Test Passed, Test Passed]
Any[2, 1:100, 5.516666666666667e-6, 8.8e-6, Test Passed, Test Passed]
Any[3, 1:100, 8.9e-6, 1.05e-5, Test Passed, Test Passed]
Any[4, 1:100, 1.03e-5, 1.06e-5, Test Passed, Test Passed]
Any[5, 1:100, 1.78e-5, 1.08e-5, Test Passed, Test Passed]
Any[6, 1:100, 1.85e-5, 1.22e-5, Test Passed, Test Passed]
Any[7, 1:100, 2.09e-5, 1.07e-5, Test Passed, Test Passed]
Any[8, 1:100, 3.52e-5, 1.63e-5, Test Passed, Test Passed]
Any[9, 1:100, 3.92e-5, 1.71e-5, Test Passed, Test Passed]
Any[10, 1:100, 4.07e-5, 1.81e-5, Test Passed, Test Passed]
Any[11, 1:100, 4.29e-5, 1.86e-5, Test Passed, Test Passed]
Any[12, 1:100, 4.57e-5, 1.87e-5, Test Passed, Test Passed]
Any[1, 1:1000, 3.316279069767442e-7, 9.99e-5, Test Passed, Test Passed]
Any[2, 1:1000, 5.683333333333333e-6, 6.31e-5, Test Passed, Test Passed]
Any[3, 1:1000, 9.2e-6, 6.28e-5, Test Passed, Test Passed]
Any[4, 1:1000, 1.03e-5, 6.24e-5, Test Passed, Test Passed]
Any[5, 1:1000, 1.86e-5, 5.4e-5, Test Passed, Test Passed]
Any[6, 1:1000, 2.13e-5, 4.65e-5, Test Passed, Test Passed]
Any[7, 1:1000, 2.22e-5, 5.31e-5, Test Passed, Test Passed]
Any[8, 1:1000, 2.5e-5, 4.76e-5, Test Passed, Test Passed]
Any[9, 1:1000, 3.91e-5, 5.21e-5, Test Passed, Test Passed]
Any[10, 1:1000, 3.97e-5, 5.31e-5, Test Passed, Test Passed]
Any[11, 1:1000, 4.36e-5, 5.32e-5, Test Passed, Test Passed]
Any[12, 1:1000, 4.76e-5, 5.04e-5, Test Passed, Test Passed]
Any[1, 1:10000, 1.39e-6, 0.0009703, Test Passed, Test Passed]
Any[2, 1:10000, 5.96e-6, 0.0006736, Test Passed, Test Passed]
Any[3, 1:10000, 9.4e-6, 0.0006049, Test Passed, Test Passed]
Any[4, 1:10000, 1.05e-5, 0.0005921, Test Passed, Test Passed]
Any[5, 1:10000, 1.76e-5, 0.0005167, Test Passed, Test Passed]
Any[6, 1:10000, 2.05e-5, 0.0004113, Test Passed, Test Passed]
Any[7, 1:10000, 1.95e-5, 0.0003861, Test Passed, Test Passed]
Any[8, 1:10000, 2.39e-5, 0.000367, Test Passed, Test Passed]
Any[9, 1:10000, 4.1e-5, 0.0003937, Test Passed, Test Passed]
Any[10, 1:10000, 3.86e-5, 0.0003682, Test Passed, Test Passed]
Any[11, 1:10000, 4.26e-5, 0.000391, Test Passed, Test Passed]
Any[12, 1:10000, 4.59e-5, 0.0003871, Test Passed, Test Passed]
Any[1, 1:100000, 1.22e-5, 0.0102079, Test Passed, Test Passed]
Any[2, 1:100000, 1.25e-5, 0.0066141, Test Passed, Test Passed]
Any[3, 1:100000, 1.52e-5, 0.0061613, Test Passed, Test Passed]
Any[4, 1:100000, 1.56e-5, 0.0047212, Test Passed, Test Passed]
Any[5, 1:100000, 2.28e-5, 0.0052051, Test Passed, Test Passed]
Any[6, 1:100000, 2.4e-5, 0.0043383, Test Passed, Test Passed]
Any[7, 1:100000, 2.36e-5, 0.0044043, Test Passed, Test Passed]
Any[8, 1:100000, 2.7e-5, 0.0039169, Test Passed, Test Passed]
Any[9, 1:100000, 4.13e-5, 0.0035433, Test Passed, Test Passed]
Any[10, 1:100000, 4.14e-5, 0.0037249, Test Passed, Test Passed]
Any[11, 1:100000, 4.34e-5, 0.0037677, Test Passed, Test Passed]
Any[12, 1:100000, 4.81e-5, 0.003709, Test Passed, Test Passed]
Any[1, 1:1000000, 0.0001168, 0.1101136, Test Passed, Test Passed]
Any[2, 1:1000000, 7.53e-5, 0.0933446, Test Passed, Test Passed]
Any[3, 1:1000000, 7.72e-5, 0.0831346, Test Passed, Test Passed]
Any[4, 1:1000000, 7.69e-5, 0.0557201, Test Passed, Test Passed]
Any[5, 1:1000000, 6.35e-5, 0.0617134, Test Passed, Test Passed]
Any[6, 1:1000000, 6.56e-5, 0.0509808, Test Passed, Test Passed]
Any[7, 1:1000000, 6.01e-5, 0.0516884, Test Passed, Test Passed]
Any[8, 1:1000000, 6.42e-5, 0.0429228, Test Passed, Test Passed]
Any[9, 1:1000000, 7.4e-5, 0.0442069, Test Passed, Test Passed]
Any[10, 1:1000000, 7.8e-5, 0.0419766, Test Passed, Test Passed]
Any[11, 1:1000000, 7.36e-5, 0.0394425, Test Passed, Test Passed]
Any[12, 1:1000000, 7.62e-5, 0.0398226, Test Passed, Test Passed]
